,Price level,Rating,Latitude,Longitude,RegionName
0,2,4.6,33.8366772,-118.318935, Torrance
1,,5.0,33.815576,-118.351367, Torrance
2,2,4.7,33.8189633,-118.3878771, Redondo Beach
3,2,4.6,33.817329,-118.387987, Redondo Beach
4,,4.5,33.8645386,-118.3966923, Hermosa Beach
5,2,4.6,33.7706309,-118.1822109, Long Beach
6,2,4.6,33.9633419,-118.3515974, Inglewood
7,,4.7,33.9888277,-118.3340017, Los Angeles
8,1,4.2,34.00424,-118.409539, Culver City
9,2,4.5,34.0065368,-118.41216, Culver City
10,2,4.6,33.9866368,-118.471642, Venice
11,2,4.6,34.047626,-118.327614, Los Angeles
12,,4.0,34.0516025,-118.2550754, Los Angeles
13,2,4.6,34.0167692,-118.4912757, Santa Monica
14,,4.6,34.0203454,-118.4963926, Santa Monica
15,2,4.5,34.0771192,-118.2587199, Los Angeles
16,2,4.5,34.0828183,-118.3241586, Los Angeles
17,2,4.3,34.083804,-118.273852, Los Angeles
18,2,4.5,34.0785873,-118.3764199, Los Angeles
19,1,4.5,34.090791,-118.390096, West Hollywood
20,2,4.6,33.8366772,-118.318935, Torrance
21,,5.0,33.815576,-118.351367, Torrance
22,2,4.6,33.817329,-118.387987, Redondo Beach
23,,4.5,33.8645386,-118.3966923, Hermosa Beach
24,2,4.6,33.7706309,-118.1822109, Long Beach
25,2,4.6,33.9633419,-118.3515974, Inglewood
26,,4.7,33.9888277,-118.3340017, Los Angeles
27,1,4.2,34.00424,-118.409539, Culver City
28,2,4.5,34.0065368,-118.41216, Culver City
29,2,4.6,33.9866368,-118.471642, Venice
30,,4.0,34.0516025,-118.2550754, Los Angeles
31,2,4.5,34.0771192,-118.2587199, Los Angeles
32,2,4.6,34.0167692,-118.4912757, Santa Monica
33,2,4.5,34.0828183,-118.3241586, Los Angeles
34,2,4.3,34.083804,-118.273852, Los Angeles
35,,4.6,34.0203454,-118.4963926, Santa Monica
36,2,4.5,34.0785873,-118.3764199, Los Angeles
37,,4.5,34.0822255,-118.3768009, Los Angeles
38,,4.5,34.0325744,-118.4944729, Santa Monica
39,2,4.4,34.100517,-118.32927, Los Angeles
40,,5.0,33.815576,-118.351367, Torrance
41,2,4.6,33.8366772,-118.318935, Torrance
42,2,4.6,33.817329,-118.387987, Redondo Beach
43,2,4.6,33.7706309,-118.1822109, Long Beach
44,2,4.6,33.9633419,-118.3515974, Inglewood
45,,4.7,33.9888277,-118.3340017, Los Angeles
46,1,4.2,34.00424,-118.409539, Culver City
47,2,4.5,34.0065368,-118.41216, Culver City
48,2,4.6,33.9866368,-118.471642, Venice
49,2,4.6,34.0427223,-118.2529723, Los Angeles
50,2,4.6,34.047626,-118.327614, Los Angeles
51,,4.0,34.0516025,-118.2550754, Los Angeles
52,2,4.6,34.0167692,-118.4912757, Santa Monica
53,,4.6,34.0203454,-118.4963926, Santa Monica
54,2,4.5,34.0771192,-118.2587199, Los Angeles
55,,4.5,34.0325744,-118.4944729, Santa Monica
56,2,4.5,34.0828183,-118.3241586, Los Angeles
57,2,4.3,34.083804,-118.273852, Los Angeles
58,1,4.5,34.090791,-118.390096, West Hollywood
59,2,4.4,34.100517,-118.32927, Los Angeles
60,,4.3,33.8664609,-118.0927985, Cerritos
61,,4.4,33.9028094,-118.053914, Norwalk
62,2,4.6,33.7706309,-118.1822109, Long Beach
63,,4.7,33.7173403,-118.0516077, Huntington Beach
64,1,4.6,33.9312636,-117.8931749, Brea
65,1,4.6,33.810727,-117.835493, Orange
66,,4.4,34.0796122,-118.093476, San Gabriel
67,,4.6,33.8605937,-117.7910646, Anaheim
68,,4.0,34.0516025,-118.2550754, Los Angeles
69,,4.8,33.686873,-117.858254, Irvine
70,,4.7,33.9888277,-118.3340017, Los Angeles
71,2,4.5,34.0771192,-118.2587199, Los Angeles
72,2,4.6,34.118765,-118.179128, Los Angeles
73,2,4.6,33.817329,-118.387987, Redondo Beach
74,2,4.3,34.083804,-118.273852, Los Angeles
75,,4.4,33.625723,-117.905745, Newport Beach
76,,4.7,34.1432717,-118.0319401, Arcadia
77,2,4.3,34.1410298,-118.1318744, Pasadena
78,2,4.5,34.0828183,-118.3241586, Los Angeles
79,1,4.2,34.00424,-118.409539, Culver City
80,,5.0,33.815576,-118.351367, Torrance
81,2,4.6,33.8366772,-118.318935, Torrance
82,2,4.6,33.817329,-118.387987, Redondo Beach
83,2,4.6,33.7706309,-118.1822109, Long Beach
84,2,4.6,33.9633419,-118.3515974, Inglewood
85,,4.7,33.9888277,-118.3340017, Los Angeles
86,1,4.2,34.00424,-118.409539, Culver City
87,2,4.5,34.0065368,-118.41216, Culver City
88,2,4.6,33.9866368,-118.471642, Venice
89,2,4.6,34.0427223,-118.2529723, Los Angeles
90,2,4.6,34.047626,-118.327614, Los Angeles
91,,4.0,34.0516025,-118.2550754, Los Angeles
92,2,4.6,34.0167692,-118.4912757, Santa Monica
93,,4.6,34.0203454,-118.4963926, Santa Monica
94,2,4.5,34.0771192,-118.2587199, Los Angeles
95,,4.5,34.0325744,-118.4944729, Santa Monica
96,2,4.5,34.0828183,-118.3241586, Los Angeles
97,2,4.3,34.083804,-118.273852, Los Angeles
98,1,4.5,34.090791,-118.390096, West Hollywood
99,2,4.4,34.100517,-118.32927, Los Angeles
